"Staten Island Rolling Sales File.  All Sales From January 1, 2011 - December 31, 2011.",,,,,,,,,,,,,,,,,,,,
Sales File as of 03/30/2012  Coop Sales Files as of 04/06/2012,,,,,,,,,,,,,,,,,,,,
"Neighborhood Name 04/01/12, Descriptive Data is as of 04/01/12",,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,6305,11, ,B2, 798 WOODROW ROAD                          ,            ,10312,2,0,2,"9,282","3,370",1987, 1 , B2 ,$0,2/9/2011
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,6305,114, ,B1, 375 VINELAND AVENUE                       ,            ,10312,2,0,2,"10,000","3,976",1986, 1 , B1 ,"$141,666",1/12/2011
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,6349,14, ,B2, 482 HAROLD AVENUE                         ,            ,10312,2,0,2,"10,100","4,058",1984, 1 , B2 ,$0,3/17/2011
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,6360,57, ,B9, 56 RYAN PLACE                             ,            ,10312,2,0,2,"6,000","3,165",1991, 1 , B9 ,"$800,000",3/2/2011
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,6407,42, ,B9, 438 SHIRLEY AVENUE                        ,            ,10312,2,0,2,"8,534","4,000",1987, 1 , B9 ,"$800,000",11/1/2011
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,6455,3, ,B2, 12 LYNCH STREET                           ,            ,10312,2,0,2,"4,780","2,840",1986, 1 , B2 ,"$575,000",2/10/2011
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,6475,515, ,B2, 361 ARBUTUS AVENUE                        ,            ,10312,2,0,2,"13,650","4,576",1997, 1 , B2 ,"$1,050,000",2/4/2011
5,ANNADALE                 ,02  TWO FAMILY HOMES                        ,1,6517,79, ,B2, 14 DENISE COURT                           ,            ,10312,2,0,2,"13,475","6,542",1997, 1 , B2 ,$0,10/31/2011
5,ANNADALE                 ,05  TAX CLASS 1 VACANT LAND                 ,1B,6245,260, ,V0, FURMAN STREET                             ,            ,10312,0,0,0,"4,200",0,0, 1 , V0 ,$0,6/13/2011
5,ANNADALE                 ,05  TAX CLASS 1 VACANT LAND                 ,1B,6301,62, ,V0, RENSSELAER AVENUE                         ,            ,10312,0,0,0,"6,000",0,0, 1 , V0 ,"$220,000",7/8/2011
5,ANNADALE                 ,05  TAX CLASS 1 VACANT LAND                 ,1B,6426,63, ,V0, SYCAMORE STREET                           ,            ,10312,0,0,0,"4,000",0,0, 1 , V0 ,$0,1/25/2011
